1s m G	5.4539
1s f G	5.4539
2s m G	5.4539
2s f G	5.4539
3s m G	5.4539
3s f G	5.4539
1p m G	5.4539
1p f G	5.4539
2p m G	5.4539
2p f G	5.4539
3p m G	5.4539
3p f G	5.4539
1d m G	5.4539
1d f G	5.4539
2d m G	5.4539
2d f G	5.4539
3d m G	5.4538
3d f G	5.4538
1s m V	5.4539
1s f V	5.4539
2s m V	5.4539
2s f V	5.4539
3s m V	5.4539
3s f V	5.4539
1p m V	5.4539
1p f V	5.4539
2p m V	5.4539
2p f V	5.4539
3p m V	5.4539
3p f V	5.4539
1d m V	5.4539
1d f V	5.4539
2d m V	5.4539
2d f V	5.4539
3d m V	5.4538
3d f V	5.4538