	NOM	AKK	INSTR	DAT	ABL	GEN	LOC
1s	h₁eǵ	h₁mé	h₁móy	h₁méǵʰyo	h₁med	h₁méne	h₁móy				
2s	tuH	twé	tóy	tébʰio	twed	téwe	tóy
3s m	h₁e	im	h₁ey	h₁esmōy	h₁esmōd	h₁éso	h₁esmi			
3s f	ih₂	ih₂m̥	h₁ey	h₁esieh₂ey	h₁esmōd	h₁eseh₂s	h₁esyeh₂i	
3s n	id	id	h₁ey	h₁esmōy	h₁esmōd	h₁éso	h₁esmi							
1p	wey	n̥smé	@	n̥smey	n̥smed	n̥so	n̥smi						
2p	yuH	usmé	@	usmey	usmed	yuso	usmi	
3p m	h₁ey	ins	h₁eybʰi	h₁eymus	h₁eyos	h₁éso	h₁eysu						
3p f	ih₂es	ih₂n̥s	h₁eybʰi	h₁eymus	h₁eyos	h₁éso	h₁eysu
3p n	ih₂	ih₂	h₁eybʰi	h₁eymus	h₁eyos	h₁éso	h₁eysu
1d	weh₁	n̥h₁wé	nō̆h₁	nō̆h₁	nō̆h₁	nō̆h₁	nō̆h₁
2d	yuh₁	uh₁wé	wō̆h₁	wō̆h₁	wō̆h₁	wō̆h₁	wō̆h₁
3d m	h₁ey	ins	h₁eybʰi	h₁eymus	h₁eyos	h₁éso	h₁eysu						
3d f	ih₂es	ih₂n̥s	h₁eybʰi	h₁eymus	h₁eyos	h₁éso	h₁eysu
3d n	ih₂	ih₂	h₁eybʰi	h₁eymus	h₁eyos	h₁éso	h₁eysu