	NOM	ERG	DAT	ABL	GEN
1s m	bɨ	me	me	me	mʲoːn
1s f	bɨ	me	me	me	mʲoːn
2s m	t͡sɨ	t͡se	t͡se	t͡se	t͡ʃoːn
2s f	t͡sɨ	t͡se	t͡se	t͡se	t͡ʃoːn			
3es m	ji	jemʲ	jemis	jemi	jemʲ sund̪
3es f	ji	jemi	jemis	jemi	jemʲ sund̪
3xs m	hu	humʲ	humis	humi	humʲ sund
3xs f	hɔ	humi	humis	humi	humʲ sund
3ws m	su	t̪ǝmʲ	t̪ǝmis	t̪ǝmi	t̪ǝmʲ sund̪
3ws f	sɔ	t̪ami	t̪ǝmis	t̪ǝmi	t̪ǝmʲ sund̪
1p m	ǝsʲ	asi	asi	asi	soːn
1p f	ǝsʲ	asi	asi	asi	soːn	
2p m	t̪ohʲ	t̪ɔhi	t̪ɔhi	t̪ɔhi	t̪uhund̪
2p f	t̪ohʲ	t̪ɔhi	t̪ɔhi	t̪ɔhi	t̪uhund̪
3ep m	jim	jimaʋ	jiman	jimaʋ	jihund̪
3ep f	jimɨ	jimaʋ	jiman	jimaʋ	jihund̪
3xp m	hum	humaʋ	human	humaʋ	huhund̪
3xp f	humɨ	humaʋ	human	humaʋ	huhund̪
3wp m	t̪imɨ	t̪imaʋ	t̪iman	t̪imaʋ	t̪ihund̪
3wp f	t̪im	t̪imaʋ	t̪iman	t̪imaʋ	t̪ihund̪