	NOM	AKK	DAT	GEN	INSTR	LOC
1s	jãzъ	mę̑	mьně̀	mȅne	mъnòjǫ	mьně̀
2s	ty̑	tę̑	tebě̀	tȅne	tobòjǫ	tebě̀
3s m	onъ	onъ	onomu	onogo	oněmь	onomь
3s f	ona	onǫ	onoji	onoję̇	onojǫ	onoji
3s n	ono	ono	onomu	onogo	oněmь	onomь	
rs	-	sę̑	sebě̀	sȅbe	sobòjǫ	sebě̀
1p	my̑	ny̑	nàmъ	nàsъ	nàmi	nàsъ
2p	vy̑	vy̑	vàmъ	vàsъ	vàmi	vàsъ
3p m	oni	ony	oněmъ	oněxъ	oněmi	oněxъ
3p f	ony	ony	oněmъ	oněxъ	oněmi	oněxъ
3p n	ona	ona	oněmъ	oněxъ	oněmi	oněxъ
rp	-	sę̑	sebě̀	sȅbe	sobòjǫ	sebě̀
1d	vě̑	nȃ	nàma	nàju	nàma	nàju
2d	vȃ	vȃ	vàma	vàju	vàma	vàju
3d m	ona	ona	oněma	onoju	oněma	onoju
3d f	oně	oně	oněma	onoju	oněma	onoju
3d n	oně	oně	oněma	onoju	oněma	onoju
rd	-	sę̑	sebě̀	sȅbe	sobòjǫ	sebě̀