1s	a-12i3	1a23-aaku	a-1a22i3	a-1ti2i3
2s m	ta-12i3	1a23-aat	ta-1a22i3	ta-1ti2i3
2s f	ta-12i3-ii	1a23-aati	ta-1a22i3-ii	ta-1ti23-ii
3s m	i-12i3	1a2i3	i-1a22i3	i-1ti2i3
3s f	ta-12i3	1a23-at	ta-1a22i3	ta-1ti2i3
1p	ni-12i3	1a23-aani	ni-1a22i3	ni-1ti2i3
2p m	ta-12i3-aa	1a23-aatunu	ta-1a22i3-aa	ta-1ti23-aa
2p f	ta-12i3-aa	1a23-aatin	ta-1a22i3-aa	ta-1ti23-aa
3p m	i-12i3-uu	1a23-uu	i-1a22i3-uu	i-1ti23-uu
3p f	i-12i3-aa	1a23-aa	i-1a22i3-aa	i-1ti23-aa
1d	a-12i3-aa	1a23-aani	a-1a22i3-aa	a-1ti23-aa
2d m	ta-12i3-aa	1a23-aatunu	ta-1a22i3-aa	ta-1ti23-aa
2d f	ta-12i3-aa	1a23-aatin	ta-1a22i3-aa	ta-1ti23-aa
3d m	i-12i3-uu	1a23-aa	i-1a22i3-uu	i-1ti23-aa
3d f	i-12i3-aa	1a23-aa	i-1a22i3-aa	i-1ti23-aa