1s	ʔə-1ä22ə3	1ä2ä3-ku	ʔə-12ä3	1ä2i3-əyä
2s m	tə-1ä22ə3	1ä2ä3-kä	tə-12ä3	1ä2i3-äkä
2s f	tə-1ä22ə3-i	1ä2ä3-ki	tə-12ä3-i	1ä2i3-äki
3s m	yə-1ä22ə3	1ä23-ä	yə-12ä3	1ä2i3-o
3s f	tə-1ä22ə3	1ä23-ät	tə-12ä3	1ä2i3-a
1p	nə-1ä22ə3	1ä2ä3-nä	nə-12ä3	1ä2i3-änä
2p m	tə-1ä22ə3-u	1ä2ä3-kəmu	tə-12ä3-u	1ä2i3-äkəmu
2p f	tə-1ä22ə3-a	1ä2ä3-kən	tə-12ä3-a	1ä2i3-äkən
3p m	yə-1ä22ə3-u	1ä23-u	yə-12ä3-u	1ä2i3-omu
3p f	yə-1ä22ə3-a	1ä23-a	yə-12ä3-a	1ä2i3-on
1d	nə-1ä22ə3	1ä2ä3-nä	nə-12ä3	1ä2i3-änä
2d m	tə-1ä22ə3-u	1ä2ä3-kəmu	tə-12ä3-u	1ä2i3-äkəmu
2d f	tə-1ä22ə3-a	1ä2ä3-kən	tə-12ä3-a	1ä2i3-äkən
3d m	yə-1ä22ə3-u	1ä23-u	yə-12ä3-u	1ä2i3-omu
3d f	yə-1ä22ə3-a	1ä23-a	yə-12ä3-a	1ä2i3-on