1s	ɨ-1ä23	1ä22ä3-hʷ	ä-12ä3	1ä22ä3-hʷm
2s m	tɨ-1ä23	1ä22ä3-hä	tä-12ä3	1ä22ä3-häm
2s f	tɨ-1ä23-ʲ	1ä22ä3-hʲ	ä-12ä3-ʲ	1ä22ä3-hʲm
3s m	yɨ-1ä23	1ä22ä3-ä	yä-12ä3	1ä22ä3-äm
3s f	tɨ-1ä23	1ä22ä3-ätt	tä-12ä3	1ä22ä3-ättm
1p	nɨ-1ä23-nä	1ä22ä3-nä	nä-12ä3-nä	1ä22ä3-näm
2p m	tɨ-1ä23-mʷ	1ä22ä3-hmʷ	tä-12ä3-mʷ	1ä22ä3-hmʷm
2p f	tɨ-1ä23-ma	1ä22ä3-hma	tä-12ä3-ma	1ä22ä3-hmam
3p m	yɨ-1ä23-mʷ	1ä22ä3-mʷ	yä-12ä3-mʷ	1ä22ä3-mʷm
3p f	yɨ-1ä23-ma	1ä22ä3-ma	yä-12ä3-ma	1ä22ä3-mam
1d	nɨ-1ä23-nä	1ä22ä3-nä	nä-12ä3-nä	1ä22ä3-näm
2d m	tɨ-1ä23-mʷ	1ä22ä3-hmʷ	tä-12ä3-mʷ	1ä22ä3-hmʷm
2d f	tɨ-1ä23-ma	1ä22ä3-hma	tä-12ä3-ma	1ä22ä3-hmam
3d m	yɨ-1ä23-mʷ	1ä22ä3-mʷ	yä-12ä3-mʷ	1ä22ä3-mʷm
3d f	yɨ-1ä23-ma	1ä22ä3-ma	yä-12ä3-ma	1ä22ä3-mam