1s	ʔɨ-1ə22i3	1ə2ə3-ku	ʔɨ-12ə3	1ə2i3-ə
2s m	tɨ-1ə22i3	1ə2ə3-ka	tɨ-12ə3	1ə2i3-ka
2s f	tɨ-1ə23-i	1ə2ə3-ki	tɨ-12ə3-i	1ə2i3-ki
3s m	yɨ-1ə22i3	1ə2ə3-ə	yɨ-12ə3	1ə2i3-u
3s f	tɨ-1ə22i3	1ə2ə3-ət	tɨ-12ə3	1ə2i3-a
1p	nɨ-1ə22i3	1ə2ə3-na	nɨ-12ə3	1ə2i3-na
2p m	tɨ-1ə23-u	1ə2ə3-kum	tɨ-12ə3-u	1ə2i3-kum
2p f	tɨ-1ə23-a	1ə2ə3-kɨn	tɨ-12ə3-a	1ə2i3-kɨn
3p m	yɨ-1ə23-u	1ə2ə3-u	yɨ-12ə3-u	1ə2i3-om
3p f	yɨ-1ə23-a	1ə2ə3-a	yɨ-12ə3-a	1ə2i3-ən
1d	nɨ-1ə22i3	1ə2ə3-na	nɨ-12ə3	1ə2i3-na
2d m	tɨ-1ə23-u	1ə2ə3-kum	tɨ-12ə3-u	1ə2i3-kum
2d f	tɨ-1ə23-a	1ə2ə3-kɨn	tɨ-12ə3-a	1ə2i3-kɨn
3d m	yɨ-1ə23-u	1ə2ə3-u	yɨ-12ə3-u	1ə2i3-om
3d f	yɨ-1ə23-a	1ə2ə3-a	yɨ-12ə3-a	1ə2i3-ən